Zona_ID,Ciudad,Zona,Barrios
1,Asunción,Trinidad,"Bella Vista, Las Lomas, Loma Pyta, Manorá, Mbocayaty, Mburucuya, San Jorge, Trinidad, Villa Morra, Ycúa Sati, Zeballos Cue "
2,Asunción,La Catedral,"Catedral, General Diaz, Barrio Obrero "
3,Asunción,Recoleta,"Herrera, Hipódromo, Los Laureles, Mcal Estigarribia, Nazareth, Recoleta, San Cristobal, San Pablo, Santa María, Seminario, Tembetary, Villa Aurelia "
4,Asunción,San Roque,"Bernardino Caballero, Ciudad Nueva, Barrio Jara, Las Mercedes, Mariscal López, Mburicao, Pettirossi, Pinoza, San Rafael, San Roque, Vista Alegre "
5,Asunción,La Encarnación,"Sajonia, Loma San Jeronimo, Dr. Gaspar Rodriguez, Carlos A. López, Itá Pyta Punta, Tacumbú "
6,Asunción,Zona 13,"Itá Enramada, Republicano, San Vicente, Santa Librada "
7,Externo,Externo,"Ciudad del Sol, Villa Nueva, San Martín, Pueblo Viejo, Los Pinos, Santa Rosa, San Pedro, La Cumbre, El Bosque, Puerto Real "
